month,issue_date,candidate,mae,rmse,bias,mae_h1_24,mae_h25_48,n
2025-10,2025-10-01,naive,0.39081693539066104,0.4487224361061673,-0.29451032516566494,0.5009339362767761,0.28069993450454617,96
2025-10,2025-10-02,naive,0.27038143221395655,0.3128520126733567,-0.0013916382969780842,0.28069993450454617,0.24286542610571737,66
2025-10,2025-10-03,naive,0.24286542610571737,0.2604094065792747,0.2297952303898906,0.24286542610571737,,18
2025-10,2025-10-04,naive,0.4922249716303113,0.5214583049617014,-0.4922249716303113,,0.4922249716303113,22
2025-10,2025-10-05,naive,0.33956395665062145,0.3727717711714324,0.0014782369258383092,0.4922249716303113,0.2665521668777262,68
2025-10,2025-10-06,naive,0.25498033906807926,0.26792892543289315,0.20845362282487878,0.2665521668777262,0.24389067075050086,94
2025-10,2025-10-07,naive,0.26733640584065343,0.29365602054655465,0.0899514803898906,0.24389067075050086,0.29078214093080595,96
2025-10,2025-10-08,naive,0.26223742342810913,0.28774336013472324,0.1164150220565573,0.29078214093080595,0.23369270592541228,96
2025-10,2025-10-09,naive,0.2625499234281092,0.2771639597053193,0.15672752205655727,0.23369270592541228,0.291407140930806,96
2025-10,2025-10-10,naive,0.2723738730929265,0.2881017601041717,0.09708689705655726,0.291407140930806,0.25334060525504704,96
2025-10,2025-10-11,naive,0.2376397557404839,0.2580443569942192,0.12182648038989062,0.25334060525504704,0.2219389062259208,96
2025-10,2025-10-12,naive,0.32383314551548775,0.3707132135689415,-0.08775685294344272,0.2219389062259208,0.4257273848050547,96
2025-10,2025-10-13,naive,0.4680364366620435,0.5007865562825761,-0.4069929640545538,0.4257273848050547,0.5103454885190322,96
2025-10,2025-10-14,naive,0.45487579942980433,0.5036090646223516,-0.4189547696101094,0.5103454885190322,0.3994061103405763,96
2025-10,2025-10-15,naive,0.3291858577978117,0.39205677969640096,-0.12331240849899827,0.3994061103405763,0.258965605255047,96
2025-10,2025-10-16,naive,0.28467555671135764,0.3031755395954027,0.19634036927877951,0.258965605255047,0.31038550816766836,96
2025-10,2025-10-17,naive,0.31309384150100167,0.3144204804131172,0.31309384150100167,0.31038550816766836,0.3158021748343351,96
2025-10,2025-10-18,naive,0.2975894783479735,0.30914743992649607,0.22840634150100173,0.3158021748343351,0.27937678186161197,96
2025-10,2025-10-19,naive,0.2668603116813068,0.284729274353126,0.19767717483433503,0.27937678186161197,0.2543438415010017,96
2025-10,2025-10-20,naive,0.26015981372322394,0.2760552654752382,0.26015981372322394,0.2543438415010017,0.2659757859454462,96
2025-10,2025-10-21,naive,0.27510773038989056,0.28973290570791393,0.27510773038989056,0.2659757859454462,0.28423967483433504,96
